Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Эгоистичный ген,Ричард Докинз,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/129015-raznoe-egoistichnyy-gen.jpg,В планах,"September 28, 2022 1:59 AM",Книги по саморазвитию,,,https://www.litres.ru/raznoe/egoistichnyy-gen/,
Человек в поисках смысла,Виктор Франкл,https://s1.livelib.ru/boocover/1000217563/200x305/3f2e/boocover.jpg,В планах,"September 28, 2022 2:00 AM",Книги по саморазвитию,,,https://www.livelib.ru/book/1000217563-chelovek-v-poiskah-smysla-viktor-frankl,
Цветы для Элджернона,Дэниел Киз,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/145410-deniel-kiz-cvety-dlya-eldzhernona.jpg,В планах,"September 28, 2022 2:01 AM",Развлекательная литература,,,https://www.litres.ru/deniel-kiz/cvety-dlya-eldzhernona/,
Финансист,Теодор Драйзер,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/126289-teodor-drayzer-finansist.jpg,В планах,"September 28, 2022 2:01 AM",Книги по саморазвитию,,,https://www.litres.ru/teodor-drayzer/finansist/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5%206cadef5a58174f3497fbfb97e62ca4c4.csv
Убить пересмешника,Харпер Ли,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/129770-harper-li-ubit-peresmeshnika.jpg,В планах,"September 28, 2022 2:01 AM",Развлекательная литература,,,https://www.litres.ru/harper-li/ubit-peresmeshnika/,
Трудно быть богом,Аркадий и Борис Стругацкие,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_330/24616261-arkadiy-i-boris-strugackie-trudno-byt-bogom-24616261.jpg,В планах,"September 28, 2022 2:01 AM",Развлекательная литература,,,https://www.litres.ru/arkadiy-i-boris-strugackie/trudno-byt-bogom-24616261/,
Понедельник начинается в субботу,Аркадий и Борис Стругацкие,https://cv8.litres.ru/pub/c/audiokniga/cover_415/3956285-arkadiy-i-boris-strugackie-ponedelnik-nachinaetsya-v-subbotu-3956285.jpg,В планах,"September 28, 2022 2:02 AM",Развлекательная литература,,,https://www.litres.ru/arkadiy-i-boris-strugackie/ponedelnik-nachinaetsya-v-subbotu-3956285/,
Обитаемый остров,Аркадий и Борис Стругацкие,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_330/23467498-arkadiy-i-boris-strugackie-obitaemyy-ostrov.jpg,В планах,"September 28, 2022 2:02 AM",Развлекательная литература,,,https://www.litres.ru/arkadiy-i-boris-strugackie/obitaemyy-ostrov/,
"Трое в лодке, не считая собаки",Джером К. Джером,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/138854-dzherom-k-dzherom-troe-v-lodke-ne-schitaya-sobaki-138854.jpg,В планах,"September 28, 2022 2:04 AM",Развлекательная литература,,,https://www.litres.ru/dzherom-k-dzherom/troe-v-lodke-ne-schitaya-sobaki-138854/,
Степной волк,Герман Гессе,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/138905-german-gesse-stepnoy-volk.jpg,В планах,"September 28, 2022 2:05 AM",Развлекательная литература,,,https://www.litres.ru/german-gesse/stepnoy-volk/,
Сравнительные жизнеописания,Плутарх,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/2572425-plutarh-sravnitelnye-zhizneopisaniya-2572425.jpg,В планах,"September 28, 2022 2:07 AM",Развлекательная литература,,,https://www.litres.ru/plutarh/sravnitelnye-zhizneopisaniya-2572425/,
Сирены Титана,Курт Воннегут,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/128906-kurt-vonnegut-sireny-titana.jpg,В планах,"September 28, 2022 2:07 AM",Развлекательная литература,,,https://www.litres.ru/kurt-vonnegut/sireny-titana/,
"Сделай себя сам. Советы для тех, кто хочет оставить свой след",Тина Силиг,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/5009199-tina-silig-sdelay-sebya-sam-sovety-dlya-teh-kto-hochet-ostavit-svoy-sled.jpg,В планах,"September 28, 2022 2:08 AM",Книги по саморазвитию,,,https://www.litres.ru/tina-silig/sdelay-sebya-sam-sovety-dlya-teh-kto-hochet-ostavit-svoy-sled/,
Рыцари Сорока Островов,Сергей Лукьяненко,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/121028-sergey-lukyanenko-rycari-soroka-ostrovov.jpg,В планах,"September 28, 2022 2:09 AM",Развлекательная литература,,,https://www.litres.ru/sergey-lukyanenko/rycari-soroka-ostrovov/,
Сказать жизни «Да!»: психолог в концлагере,Виктор Франкл,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/147113-viktor-frankl-skazat-zhizni-da-psiholog-v-konclagere.jpg,В планах,"September 28, 2022 2:09 AM",Книги по саморазвитию,,,https://www.litres.ru/viktor-frankl/skazat-zhizni-da-psiholog-v-konclagere/,
